timestamp,X,Y,Z
1568654741729,0.031125,9.410410,1.456872
1568654741738,0.124498,9.502586,1.250970
1568654741747,0.061052,9.617508,1.199495
1568654741757,-0.193930,9.524135,1.185130
1568654741767,-0.463278,9.515755,1.209072
1568654741776,-0.606930,9.481039,1.296460
1568654741785,-0.562637,9.483433,1.543063
1568654741795,-0.489614,9.459491,1.771709
1568654741805,-0.483629,9.449914,1.891419
1568654741814,-0.470461,9.430760,1.933318
1568654741823,-0.430956,9.331401,2.120066
1568654741833,-0.342371,9.325416,2.323573
1568654741843,-0.247800,9.367314,2.409764
1568654741852,-0.284910,9.361329,2.560599
1568654741861,-0.354342,9.290700,2.640805
1568654741871,-0.312443,9.248801,2.768894
1568654741880,-0.323217,9.242816,2.877831
1568654741890,-0.362722,9.191340,3.029862
1568654741900,-0.502782,9.178172,3.330335
1568654741909,-0.622492,9.139865,3.697845
1568654741919,-0.697910,9.035717,3.806781
1568654741929,-0.624887,9.075222,3.787627
1568654741938,-0.503979,9.153033,3.855862
1568654741947,-0.417788,9.167398,3.991134
1568654741957,-0.381875,9.057265,4.238934
1568654741966,-0.336385,8.978256,4.381389
1568654741976,-0.296881,9.003395,4.521450
1568654741985,-0.162806,9.054871,4.715380
1568654741995,-0.010774,9.266758,4.641160
1568654742004,0.046687,9.576807,4.267664
1568654742014,-0.180762,9.701305,3.921702
1568654742023,-0.365116,9.573215,4.100070
1568654742033,-0.379481,9.436746,4.252102
1568654742042,-0.293290,9.169792,4.188656
1568654742052,-0.241814,9.027337,3.956418
1568654742061,-0.041899,8.808268,3.487155
1568654742070,-0.025139,8.623915,3.313575
1568654742079,-0.186748,8.420407,3.295619
1568654742088,-0.532710,8.368932,3.428497
1568654742098,-0.616507,8.245630,3.131616
1568654742108,-0.751779,7.821857,3.779247
1568654742117,-1.240196,7.648277,4.458004
1568654742127,-1.523909,7.594408,4.648343
1568654742136,-1.483208,7.931990,4.400543
1568654742146,-1.399411,8.084022,4.183867
1568654742155,-1.468843,7.993042,4.337096
1568654742164,-1.592144,7.504625,4.363432
