"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.539768000E0,-4.707877338E-1,-1.913126755E1,1.816212296E0,1.922305039E1
1.549749000E0,4.478253052E-2,-1.998647881E1,2.201668262E0,2.010742857E1
1.559839000E0,2.763004601E-1,-2.000297165E1,1.983589411E0,2.010298097E1
1.569892000E0,3.496042788E-1,-2.000297165E1,1.609739900E0,2.007068411E1
1.579701000E0,2.268203646E-1,-1.978428268E1,1.475349545E0,1.984051272E1
1.589903000E0,-1.238162816E-1,-1.985208702E1,1.416706443E0,1.990295824E1
1.599864000E0,-5.178243518E-1,-1.981604767E1,1.452136636E0,1.987592987E1
1.609662000E0,-7.053599358E-1,-1.952649689E1,1.571255326E0,1.960230743E1
1.619645000E0,-3.651080430E-1,-1.932613373E1,1.632952690E0,1.939843507E1
1.629726000E0,8.265617490E-2,-1.926015854E1,1.623178840E0,1.932861217E1
1.639683000E0,8.265617490E-2,-1.917463875E1,1.821710110E0,1.926115861E1
1.650278000E0,1.779511571E-1,-1.909889030E1,1.880353212E0,1.919205580E1
1.659697000E0,5.505789518E-1,-1.908362007E1,1.607296348E0,1.915909950E1
1.669712000E0,7.552188635E-1,-1.896877670E1,1.497340679E0,1.904276435E1
1.680036000E0,8.676180243E-1,-1.885698891E1,1.524829626E0,1.893842383E1
1.689732000E0,9.287045598E-1,-1.879590225E1,1.513834000E0,1.887962200E1
1.699662000E0,8.413508534E-1,-1.913187790E1,9.707748294E-1,1.917495833E1
1.709693000E0,8.474594951E-1,-1.895717049E1,1.044689536E0,1.900483824E1
1.719654000E0,7.765991092E-1,-1.932552147E1,9.396206737E-1,1.936392970E1
1.730014000E0,5.261443853E-1,-1.955826187E1,6.842790246E-1,1.957729994E1
1.739971000E0,4.436775446E-1,-1.967310333E1,6.494597197E-1,1.968882024E1
1.749697000E0,3.202827573E-1,-1.983803749E1,6.622878313E-1,1.985167342E1
1.759706000E0,5.944329873E-2,-2.000297165E1,6.793920994E-1,2.001459422E1
1.769640000E0,3.561955318E-2,-2.000297165E1,7.838500738E-1,2.001835569E1
1.779610000E0,-4.806898534E-2,-2.000297165E1,1.006815910E0,2.002835150E1
1.789761000E0,-1.019534189E-2,-2.000297165E1,1.229170799E0,2.004070457E1
1.799714000E0,1.248058751E-1,-2.000297165E1,1.273764014E0,2.004387503E1
1.809825000E0,6.037242413E-1,-2.000297165E1,1.204736233E0,2.004831033E1
1.819648000E0,5.145379305E-1,-2.000297165E1,1.498562336E0,2.006562516E1
1.829793000E0,4.925467670E-1,-2.000297165E1,1.825375319E0,2.009212463E1
1.839738000E0,6.312131882E-1,-2.000297165E1,1.671437263E0,2.008260460E1
1.849656000E0,8.224140406E-1,-2.000297165E1,1.394715309E0,2.006839481E1
1.859757000E0,8.981612921E-1,-2.000236130E1,1.192518950E0,2.005799722E1
1.869677000E0,8.883874416E-1,-1.997487259E1,8.864753842E-1,2.001426006E1
1.879768000E0,8.804461956E-1,-1.955703926E1,6.567900777E-1,1.958786214E1
1.889640000E0,1.085086107E0,-1.934995651E1,7.588045597E-1,1.939520593E1
1.899738000E0,1.188322306E0,-1.936644936E1,7.716327310E-1,1.941821021E1
1.909784000E0,7.191777825E-1,-1.951244736E1,6.311337352E-1,1.953589385E1
1.919649000E0,1.382449120E-1,-1.938233185E1,5.657711625E-1,1.939108033E1
1.929597000E0,-1.604681909E-1,-1.913859749E1,6.018121839E-1,1.914872951E1
1.939874000E0,-4.005382359E-1,-1.864257431E1,7.013832331E-1,1.866006287E1
1.949997000E0,-6.601559520E-1,-1.874581146E1,9.585574865E-1,1.878190847E1
1.959759000E0,-8.116505146E-1,-1.853628349E1,1.217564344E0,1.859395185E1
1.969742000E0,-6.650428772E-1,-1.822413254E1,1.326298356E0,1.828442934E1
1.979607000E0,-1.458074301E-1,-1.811478615E1,1.086839199E0,1.814794634E1
1.989654000E0,2.005531639E-1,-1.810195923E1,9.035796523E-1,1.812560635E1
1.999884000E0,2.970698774E-1,-1.801704788E1,9.872682095E-1,1.804652220E1
2.009618000E0,3.624324501E-1,-1.791686630E1,1.296365976E0,1.796735985E1
2.019736000E0,4.974336624E-1,-1.797917557E1,1.345846057E0,1.803633821E1
2.029803000E0,4.076364934E-1,-1.813005829E1,8.938058019E-1,1.815665360E1
2.039810000E0,4.064147472E-1,-1.835546875E1,8.876971602E-1,1.838141486E1
2.049780000E0,2.543092966E-1,-1.857293510E1,7.478089929E-1,1.858972323E1
2.060023000E0,1.773402840E-1,-1.868166924E1,7.557502389E-1,1.869779060E1
2.069775000E0,1.083125174E-1,-1.895045090E1,7.966781855E-1,1.896749896E1
2.079767000E0,-4.379292950E-2,-1.919724083E1,8.437148333E-1,1.921582233E1
2.089721000E0,-3.890600801E-2,-1.939027405E1,9.481728077E-1,1.941348173E1
2.099920000E0,-1.569312811E-2,-1.960102272E1,1.068513274E0,1.963013139E1
2.109668000E0,6.298020482E-3,-1.974946213E1,1.199238420E0,1.978584006E1
2.119814000E0,1.168646291E-1,-1.987713242E1,1.287813902E0,1.991914946E1
2.129647000E0,3.758714795E-1,-1.998464584E1,1.206568837E0,2.002456385E1
2.140008000E0,7.185668945E-1,-1.999319839E1,1.002539754E0,2.003121081E1
2.150189000E0,8.150836229E-1,-1.984964371E1,1.022698402E0,1.989267776E1
2.159627000E0,7.704904675E-1,-1.979283333E1,1.479625583E0,1.986301081E1
2.169783000E0,7.857620716E-1,-1.966271973E1,1.728858590E0,1.975421274E1
2.179598000E0,9.323697686E-1,-1.968409920E1,1.401434779E0,1.975593820E1
2.190208000E0,1.011782289E0,-1.959185982E1,1.097834826E0,1.964866193E1
2.199835000E0,1.063705802E0,-1.916975212E1,8.748689890E-1,1.921916393E1
2.209657000E0,1.090583801E0,-1.899443245E1,7.429220676E-1,1.904021455E1
2.219724000E0,9.659673572E-1,-1.882400131E1,5.511103868E-1,1.885682479E1
2.229719000E0,8.645637035E-1,-1.871954346E1,4.368786216E-1,1.874458963E1
2.239701000E0,4.797185957E-1,-1.867983818E1,3.061534464E-1,1.868850487E1
2.249842000E0,-4.501465708E-2,-1.859920311E1,2.078041285E-1,1.860041841E1
2.259669000E0,-5.349285603E-1,-1.807996750E1,3.043208420E-1,1.809043904E1
2.269731000E0,-4.457422495E-1,-1.763098145E1,4.613132179E-1,1.764264727E1
2.279597000E0,-2.197221220E-1,-1.752408028E1,5.718798041E-1,1.753478582E1
2.289748000E0,-6.761667877E-2,-1.738724709E1,6.971071959E-1,1.740134741E1
