"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.383332159E0	-9.306515455E-1	4.092955589E-2	-3.682117462E-1	1.001682294E0
1.393384829E0	-2.873191237E-2	1.015155315E-1	-1.609458923E-1	1.924435143E-1
1.403338664E0	2.733417451E-1	-2.969740629E-1	-6.438884735E-1	7.599353065E-1
1.413340082E0	3.422618508E-1	-5.503920317E-1	-1.013182640E0	1.202752520E0
1.423332791E0	1.321987510E-1	-5.865474939E-1	-9.463815689E-1	1.121228142E0
1.433291645E0	-7.490201294E-2	-4.585599899E-1	-1.068046570E0	1.164736473E0
1.443302072E0	-2.178272158E-1	-5.348248482E-1	-1.018227577E0	1.170586910E0
1.453320786E0	-6.458072364E-2	-2.607606649E-1	-8.621540070E-1	9.030372783E-1
1.463368143E0	-4.529003054E-2	-4.931080341E-2	-4.459199905E-1	4.509183742E-1
1.473314821E0	-1.802729368E-1	1.382076740E-2	3.914642334E-1	4.312001755E-1
1.483283660E0	-2.332763672E-1	1.238384247E-1	1.197469711E0	1.226249374E0
1.493378580E0	2.037834525E-1	4.101538658E-2	-3.822803497E-2	2.113559559E-1
1.503304040E0	-1.345273852E-2	-3.532519341E-1	-1.602268219E-1	3.881243867E-1
1.513324270E0	-1.921136379E-1	-3.962172270E-1	2.497329712E-1	5.062235650E-1
1.523289385E0	-2.177856565E-1	-2.439379692E-1	8.292140961E-1	8.913654369E-1
1.533262442E0	-2.037962973E-1	-7.654309273E-2	9.937543869E-1	1.017319791E0
1.543329471E0	-2.675914466E-1	-4.396474361E-2	1.017836571E0	1.053341998E0
1.553280485E0	-3.898330331E-1	-1.184655428E-1	8.659353256E-1	9.569994079E-1
1.563309992E0	-3.981295228E-1	-1.067293882E-1	4.382839203E-1	6.016569405E-1
1.573260746E0	-3.624265492E-1	-7.247507572E-2	9.381103516E-2	3.813215841E-1
1.583255123E0	-3.560574949E-1	-7.026016712E-2	-2.998895645E-1	4.707942031E-1
1.593383811E0	-3.376634717E-1	-1.095101833E-1	-6.654825211E-1	7.542387462E-1
1.603400155E0	-4.443130493E-1	-3.060992360E-1	-9.409675598E-1	1.084680034E0
1.613398827E0	-3.734636903E-1	-1.930540204E-1	-7.171936035E-1	8.313312503E-1
1.623416163E0	-4.742043018E-1	-6.420910358E-2	3.187189102E-1	5.749558875E-1
1.633357331E0	-1.587498486E-1	5.913301706E-1	3.951768875E-1	7.287233066E-1
1.643353415E0	-1.884587109E-1	5.844460726E-1	-1.853296280E0	1.952383415E0
1.653305957E0	-3.905013800E-1	-3.363370895E-2	-1.455991745E0	1.507824431E0
1.663300228E0	4.667216539E-2	9.980523586E-2	-5.917491913E-1	6.019189991E-1
1.673286364E0	3.569344282E-1	-1.011865139E-1	-3.291072845E-1	4.959359852E-1
1.683398932E0	5.031587481E-1	-4.572312236E-1	1.578865051E-1	6.979665222E-1
1.693401216E0	4.925005436E-1	-7.198665142E-1	5.187196732E-1	1.014807707E0
1.703361358E0	3.597733378E-1	-7.096673250E-1	8.419942856E-1	1.158455413E0
1.713391429E0	-1.861572266E-3	-6.875320077E-1	1.115308762E0	1.310197451E0
1.723294464E0	-4.359323978E-1	-3.272826076E-1	9.999370575E-1	1.138870089E0
1.733349482E0	-4.876389205E-1	-1.919142604E-1	6.840972900E-1	8.617493269E-1
1.743314991E0	-3.021525145E-1	2.403042316E-1	7.156944275E-2	3.926378113E-1
1.753305745E0	-1.934489012E-1	4.238066077E-1	-3.742961884E-1	5.976053503E-1
1.763426122E0	-2.646909058E-1	1.155425310E-1	-7.930164337E-1	8.439706252E-1
1.773425311E0	-1.998040974E-1	-2.018651962E-1	-1.093059540E0	1.129358399E0
1.783410905E0	-1.846275032E-1	-3.399728537E-1	-1.089872360E0	1.156499294E0
1.793339702E0	-3.654701710E-1	-3.364319801E-1	-8.115339279E-1	9.514947395E-1
1.803277601E0	-4.099630713E-1	-1.843377948E-1	-3.417730331E-1	5.646759678E-1
1.813341050E0	-3.901022673E-1	-2.571153641E-2	-3.084239960E-1	4.979620702E-1
1.823310775E0	-4.339099824E-1	-2.708995342E-2	-1.901502609E-1	4.745196099E-1
1.833308637E0	-4.639968872E-1	-1.645413637E-1	-1.388959885E-1	5.115262137E-1
1.843364568E0	-4.974390566E-1	-2.854257822E-1	-1.816568375E-1	6.015918041E-1
1.853340534E0	-5.858973861E-1	-3.961992264E-1	-3.269300461E-1	7.791872875E-1
1.863369517E0	-5.539941788E-1	-4.106619358E-1	-3.451318741E-1	7.711477071E-1
1.873403008E0	-6.536921263E-1	-4.772256911E-1	1.479501724E-1	8.227678954E-1
1.883364254E0	-6.872184277E-1	-5.141264796E-1	8.560905457E-1	1.212223670E0
1.893337877E0	-4.158339500E-1	-3.758765161E-1	1.310529709E0	1.425373336E0
1.903299188E0	5.865719318E-1	3.512800932E-1	1.135325432E0	1.325303049E0
1.913286844E0	1.819755316E0	1.656036854E0	1.412106514E0	2.836901880E0
1.923250672E0	2.000097036E0	1.260718822E0	7.066669464E-1	2.467626041E0
1.933318086E0	1.235155344E0	4.011354744E-1	-8.932590485E-2	1.301728662E0
1.943315293E0	2.432594001E-1	-1.027137935E-1	-3.823843002E-1	4.646966884E-1
1.953329396E0	-5.808828473E-1	-5.212008953E-1	-5.287809372E-1	9.427006604E-1
1.963456448E0	-6.932150126E-1	-5.153304935E-1	-5.612440109E-1	1.030100680E0
1.973352974E0	-4.732106328E-1	-4.024209976E-1	-5.143299103E-1	8.064776618E-1
1.983326237E0	-1.404764056E-1	-1.495622396E-1	-2.188615799E-1	3.000047920E-1
1.993315368E0	9.280806780E-2	1.123093367E-1	-1.259307861E-1	1.925754072E-1
2.003432934E0	2.459263504E-1	1.880499721E-1	-2.774219513E-1	4.156988103E-1
2.013484717E0	1.356592476E-1	2.063939571E-1	-2.840566635E-1	3.764174346E-1
2.023369108E0	-3.765344620E-2	1.139799356E-1	-3.071508408E-1	3.297739327E-1
2.033346804E0	-1.996616274E-1	-9.274423122E-3	-3.608989716E-1	4.125516308E-1
2.043446652E0	-3.421578407E-1	-1.401621699E-1	-3.627099991E-1	5.179536324E-1
2.053347076E0	-2.699820101E-1	-2.817949057E-1	-3.283948898E-1	5.100410359E-1
2.063394288E0	-1.462576091E-1	-3.560342193E-1	-1.184148788E-1	4.027080047E-1
2.073371894E0	-1.765216589E-1	-3.293719292E-1	1.769409180E-1	4.134656603E-1
2.083328697E0	-3.802055717E-1	-3.142078817E-1	3.467741013E-1	6.029387589E-1
2.093358098E0	-8.314940929E-1	-5.512604713E-1	4.115257263E-1	1.079177445E0
2.103326299E0	-1.187151909E0	-8.988102674E-1	5.382051468E-1	1.583304876E0
2.113369899E0	-1.294072151E0	-9.884571433E-1	6.375751495E-1	1.748763085E0
2.123322199E0	-1.125501752E0	-8.203648329E-1	5.554294586E-1	1.499418066E0
2.133350849E0	-8.676340580E-1	-5.410999060E-1	4.248170853E-1	1.107270302E0
2.143410174E0	-5.901298523E-1	-2.787271440E-1	1.656780243E-1	6.733433531E-1
2.153343837E0	-4.162520766E-1	-1.080249846E-1	-3.662176132E-1	5.648455796E-1
2.163312668E0	-3.511071801E-1	1.719558239E-2	-6.683073044E-1	7.551202507E-1
2.173252584E0	-4.481723011E-1	5.847758055E-2	-6.880226135E-1	8.231969118E-1
2.183270042E0	-6.747355461E-1	-1.158249974E-1	-1.308984756E-1	6.970063831E-1
2.193260271E0	-7.107713819E-1	-2.287264913E-1	1.436195374E-1	7.603540863E-1
2.203269885E0	-7.118271589E-1	-2.178775221E-1	2.577638626E-1	7.877885044E-1
2.213278192E0	-5.996730924E-1	-1.567231268E-1	1.302986145E-1	6.333622069E-1
2.223283346E0	-4.235533774E-1	-9.411880374E-2	-7.468795776E-2	4.402659466E-1
2.233376923E0	-3.042774200E-1	-3.597941995E-2	-1.908512115E-1	3.609756944E-1
2.243347211E0	-2.718210220E-1	-1.964670420E-2	-1.740503311E-1	3.233669414E-1
2.253280355E0	-2.272963822E-1	-2.846688032E-3	-1.620826721E-1	2.791819149E-1
2.263308927E0	-1.545313746E-1	4.209646583E-2	-1.490230560E-1	2.187691235E-1
2.273295213E0	-1.531535387E-1	6.820881367E-2	-1.707620621E-1	2.393076065E-1
2.283274856E0	-1.747473776E-1	2.904993296E-2	-1.410598755E-1	2.264474179E-1
2.293292178E0	-1.831359416E-1	-2.478182316E-3	-2.878856659E-2	1.854014457E-1
2.303274339E0	-1.506706476E-1	-5.166667700E-2	5.648612976E-3	1.593831748E-1
2.313271919E0	-5.820419267E-2	-9.460699558E-2	2.331066132E-2	1.134971303E-1
2.323283209E0	-3.460457921E-2	-9.771481156E-2	-1.651859283E-2	1.049691631E-1
2.333277354E0	-3.446355462E-3	-1.842377633E-1	-1.413183212E-1	2.322203667E-1
2.343266427E0	1.677181274E-1	-1.741230041E-1	-2.756395340E-1	3.666406190E-1
2.353267963E0	4.054686427E-1	-1.073741913E-2	-1.740951538E-1	4.413946476E-1
2.363283231E0	5.225864649E-1	1.455161572E-1	2.079010010E-2	5.428662759E-1
2.373249865E0	6.571425796E-1	2.913802862E-1	-1.647949219E-2	7.190343627E-1
2.383254682E0	6.084130406E-1	1.012785733E-1	1.257801056E-2	6.169132709E-1
2.393269591E0	3.336732090E-1	-1.828823239E-1	-2.938175201E-2	3.816373175E-1
2.403301045E0	3.616187274E-1	-1.589546204E-1	-3.891277313E-1	5.544863088E-1
2.413351272E0	1.799594760E-1	-1.152370274E-1	-6.664171219E-1	6.998405289E-1
2.423297386E0	1.940558851E-2	-1.243193746E-1	-7.577362061E-1	7.681119982E-1
2.433249943E0	-8.993373066E-2	-1.748004854E-1	-5.350303650E-1	5.700006816E-1
2.443287221E0	-1.668863297E-1	-2.071383446E-1	-1.320829391E-1	2.969903090E-1
2.453278860E0	-1.935088933E-1	-2.532538176E-1	2.683506012E-1	4.166476125E-1
2.463290680E0	-1.964683533E-1	-2.849173844E-1	5.684175491E-1	6.654894739E-1
2.473252090E0	-2.102222443E-1	-2.839638293E-1	6.880512238E-1	7.734619156E-1
2.483293295E0	-2.460630089E-1	-2.495439053E-1	4.656610489E-1	5.828030349E-1
2.493348397E0	-2.470047623E-1	-2.248005867E-1	1.920185089E-1	3.852502617E-1
2.503328948E0	-3.197912574E-1	-1.955820918E-1	8.244419098E-2	3.838174665E-1
2.513276224E0	-3.408385515E-1	-1.994214505E-1	3.386592865E-2	3.963416888E-1
2.523284862E0	-3.379193246E-1	-2.148227096E-1	7.400512695E-4	4.004232938E-1
2.533342181E0	-3.249799609E-1	-1.136463284E-1	-1.575469971E-2	3.446384679E-1
2.543309840E0	-3.245408833E-1	-8.289274573E-2	-2.227087021E-1	4.022401748E-1
2.553360170E0	-2.810409963E-1	-2.940100431E-2	-3.950490952E-1	4.857079866E-1
2.563314335E0	-1.738106310E-1	2.492612600E-2	-3.854475021E-1	4.235578167E-1
2.573292917E0	-9.217095375E-2	4.712453485E-2	-3.602886200E-1	3.748654375E-1
2.583264708E0	-2.861130238E-2	6.504845619E-2	-3.161296844E-1	3.240183416E-1
2.593249604E0	1.175641567E-1	9.453463554E-2	-6.310863495E-1	6.488667881E-1
2.603294552E0	1.657624096E-1	1.036791801E-1	-4.674501419E-1	5.066914090E-1
2.613304026E0	2.679647505E-2	-1.047185659E-1	-8.299827576E-3	1.084108678E-1
2.623321763E0	-1.017819196E-1	-2.186689377E-1	1.024789810E-1	2.620641239E-1
2.633290131E0	-4.078306258E-2	-1.097045243E-1	1.810579300E-1	2.155929379E-1
2.643285815E0	7.809948921E-2	-4.364156723E-2	3.953170776E-2	9.781039068E-2
2.653284157E0	3.014940023E-2	-3.087773919E-2	-2.754659653E-1	2.788259657E-1
2.663293828E0	-1.149494871E-1	-8.513179421E-2	-1.523704529E-1	2.089917747E-1
2.673326164E0	-1.185811013E-1	-9.338688850E-2	2.518901825E-1	2.936515836E-1
2.683279832E0	-9.327646345E-2	-5.483743548E-2	3.674373627E-1	3.830376724E-1
2.693367166E0	-1.348912716E-3	8.200228214E-3	3.585710526E-1	3.586673431E-1
2.703344833E0	5.188553035E-2	2.074980736E-2	2.362327576E-1	2.427520927E-1
2.713411666E0	-2.324660122E-2	-3.843113780E-2	1.057090759E-1	1.148554115E-1
2.723352583E0	-6.336924434E-2	-4.235726595E-2	-2.238941193E-2	7.944233678E-2
2.733331541E0	-5.115337670E-2	4.034936428E-3	-1.111221313E-1	1.223972089E-1
2.743398520E0	2.626255155E-3	3.504666686E-2	-2.395362854E-1	2.421008015E-1
2.753369010E0	-5.553662777E-4	1.942223310E-2	-3.573265076E-1	3.578543902E-1
2.763326755E0	-4.498049617E-3	-5.088400841E-2	-2.501144409E-1	2.552775907E-1
2.773320627E0	-5.192358792E-2	-9.959855676E-2	-1.608181000E-1	1.961591007E-1
2.783381063E0	-5.789193511E-2	-1.135300696E-1	-1.132659912E-1	1.704984974E-1
2.793290781E0	-5.349510908E-2	-1.118199229E-1	-1.877050400E-1	2.249413343E-1
2.803288640E0	-6.242561340E-2	-6.595328450E-2	-3.721837997E-1	3.831025629E-1
2.813294570E0	-1.077796668E-1	-9.920954704E-2	-4.093589783E-1	4.347801328E-1
2.823474035E0	-1.329551190E-1	-1.484396309E-1	-3.053054810E-1	3.645858258E-1
2.833379267E0	-3.700475395E-2	-1.508029401E-1	-1.953334808E-1	2.495316559E-1
2.843487883E0	6.135106087E-3	-7.689636946E-2	-5.186843872E-2	9.295711967E-2
2.853389191E0	-3.730342537E-2	-1.083308309E-1	-5.919075012E-2	1.289599138E-1
2.863327345E0	-7.432796806E-2	-1.774023771E-1	-5.567741394E-2	2.002404172E-1
2.873413922E0	-6.519062072E-2	-1.707055867E-1	2.808094025E-2	1.848749674E-1
2.883351211E0	-3.311242163E-2	-1.107052565E-1	4.838085175E-2	1.252708789E-1
2.893341855E0	-4.727260023E-2	-1.142305061E-1	3.988552094E-2	1.299005852E-1
2.903317677E0	-7.754542679E-2	-1.256240904E-1	9.475231171E-2	1.754215092E-1
2.913305588E0	-3.040981293E-2	-8.747851849E-2	9.092807770E-2	1.297889180E-1
2.923314044E0	-1.670120656E-2	-6.856489182E-2	1.206579208E-1	1.397798575E-1
2.933282272E0	-3.052400053E-2	-8.353095502E-2	1.480913162E-1	1.727430838E-1
2.943410386E0	-9.819620848E-2	-9.288073331E-2	1.169652939E-1	1.787462054E-1
2.953379443E0	-6.197427958E-2	-6.440408528E-2	5.954074860E-2	1.073955226E-1
2.963367471E0	-3.720133007E-2	-6.848908961E-2	3.441429138E-2	8.519998712E-2
2.973321485E0	-2.074733377E-2	-7.448732108E-2	6.842613220E-3	7.762495872E-2
2.983310492E0	-1.395845413E-2	-4.282455146E-2	-1.598930359E-2	4.779579981E-2
2.993347996E0	-1.069173217E-3	-5.612532794E-2	-4.723167419E-2	7.336229696E-2
